label, video_id, count
medium, _uGB6WqEsIw_0_10.mp4, 7
medium, _XfaoGfQs-4_7_17.mp4, 3
medium, -0NIbu2PBlM_29_39.mp4, 5
good, -3pjDfx73Aw_153_163.mp4, 4
good, -4H2Ub_l2QA_0_10.mp4, 6
medium, -7BiugaROUM_16_26.mp4, 3
medium, -8lISqb0S2s_0_10.mp4, 2
good, -51he86iZCY_916_926.mp4, 3
good, -B2oGkg1qSI_12_22.mp4, 3
good, -bE4YjdJCGQ_0_10.mp4, 3
good, -ed2QplJMQw_0_10.mp4, 8
good, -FYePzV1Bjc_49_59.mp4, 2
good, -KW8ptQGGXM_0_10.mp4, 4.5
good, -rIzgTPyzpk_11_21.mp4, 4
medium, -WTRl_h5XKg_118_128.mp4, 7
medium, 0aM2UxjMEts_13_23.mp4, 7
good, 0hcQA5YDZKQ_10_20.mp4, 3
good, 0IjbF0M6qTU_3_13.mp4, 5
medium, 0jTjP2pXYQ0_0_10.mp4, 3
medium, 0k0hVTZkEhc_1_11.mp4, 6
medium, 0KeaEynmSR8_62_72.mp4, 20
medium, 0KeaEynmSR8_69_79.mp4, 20
good, 0lxcRpxPKH4_0_10.mp4, 3
good, 0Q5nKgu2bmM_32_42.mp4, 3.5
good, 0z2kEQaf_kE_2_12.mp4, 2
medium, 1-AEK5aYozE_34_44.mp4, 2
good, 1ByGCqjw_wk_3_13.mp4, 5
good, 1CMRbaNZVvM_70_80.mp4, 1
good, 1fXvIheBY-o_5_15.mp4, 5
good, 1MlcxTw9eKA_213_223.mp4, 3.5
medium, 1TaZpm1NH9w_2_12.mp4, 3
medium, 1Ul9pLlPDfA_0_10.mp4, 3
medium, 1V9US5NQqe0_105_115.mp4, 2.5
medium, 1XoRXbRDxcY_16_26.mp4, 15
medium, 2-m13VKbJbU_5_15.mp4, 5.5
good,2dnt-8wmeds_1_11.mp4, 4
good, 2gpYQfN3Wo0_305_315.mp4, 10
medium, 2iOYL19SM1M_30_40.mp4, 3
medium, 2LKNATi7pWw_1_11.mp4, 4.5
good, 2m1U745pVp8_4_14.mp4, 4.5
good, 2qa1avIsLaA_2_12.mp4, 6
medium, 2V6zHS9McGE_9_19.mp4, 3.5
good, 2vZAl9Ylt64_23_33.mp4, 5.5
medium, 2vzMmWX6fB8_9_19.mp4, 2.5
good, 2wMk-qSPpLk_149_159.mp4, 4
good, 2x-4bgRvIHA_4_14.mp4, 7
good, 2zLotEoodhk_43_53.mp4, 6
good, 3c0hLqxvSSI_0_10.mp4, 4
good, 3hjjlKAVieU_0_10.mp4, 4.5
good, 3ND3t_F_Qn4_28_38.mp4, 11
good, 3RFdC8EqTyE_2_12.mp4, 6
good, 4mq_wfSqEX4_4_14.mp4, 8
good, 04RBd7cy4gE_6_16.mp4, 3
medium, 4rVzE8sDKf8_19_29.mp4, 3
medium, 4s6xVt9PPIM_71_81.mp4, 4
good, 4Tv6vI-rDGo_1_11.mp4, 5
medium, 5E3-5buOI6c_50_60.mp4, 3
medium, 5FbqnENoxq4_0_10.mp4, 4.5
medium, 5hY8ekIX0yU_4_14.mp4, 4
medium, 5iGrLityNZk_6_16.mp4, 3.5
medium, 5iGrLityNZk_37_47.mp4, 1.5
medium, 5Lo6qH8gwHE_118_128.mp4, 6
medium, 5RXFa-ifCnU_5_15.mp4, 6.5
medium, 6C5NAKCA27Y_0_10.mp4, 5
medium, 06k6ZUaIAcg_9_19.mp4, 3
medium, 6KBPiOCQsZM_24_34.mp4, 2
medium, 6LlQ37RCVUQ_0_10.mp4, 1.5
good, 6QYNq1V9hCc_2_12.mp4, 1
medium, 6UtIbwzJzv0_2_12.mp4, 6
medium, 06ydvG0KMdc_2_12.mp4, 3
